id	filename	md5	size	state
0d2f507f-5f39-44ad-8fbf-ad0e240c732a	nationwidechildrens.org_biospecimen.TCGA-78-7535.xml	0b2b96e147703ed00b336e850d583133	64557	released
35538403-c3b0-4e58-8874-ee67d30f3850	4dee52d3-0016-42aa-af6a-cfc6f6f95f8a.wxs.VarScan2.aliquot.maf.gz	a12ba6af041dfb13e87ad27c2dc9b419	152406	released
1855f8a6-8427-4e01-86d9-f79a71b02f30	TCGA-71-6725-01A-11D-A92Q-36.WholeGenome.RP-1657.bam	7c6dd929e07c1138aaccc0ab2577133a	366926878406	released
76b23569-0cbb-4916-b2b4-e43f7b5a095f	TCGA-78-7535-01A-13-2192-20_RPPA_data.tsv	f9cfae1299d859d4aad42a9fc9153b51	24081	released
9c625c75-4033-4e85-9ace-324d76eb75d1	TCGA_LUAD.f3fcbc37-9311-443c-b279-73b98340ea88.wgs.VarScan2.somatic_annotation.vcf.gz	479441cf35d509e4a2c8b563853adedc	4651991	released
1af74d00-d85e-408d-ac73-1c0b12751608	01b4374f-2fe0-48cc-a027-a2ffa1fba79a.wxs.MuTect2.aliquot.maf.gz	f7f2531db59b0e9fc7f2ed3076114931	605263	released
c5cc9280-d4c9-4090-9fb1-1d1cc5e2f8d6	TCGA-78-7535-01Z-00-DX1.c4ca06f3-22d1-4e39-85c8-98d1fa2b0e60.svs	6fa8987fb26bd072c66e72784b1215d3	1281854239	released
8e328cda-157e-4210-8773-0ba757444e87	1195bb17-e94e-4fa9-9837-c57b4a32b7ae.wgs.gatk4.copy_number_variation.supplementary.tar.gz	61928b42dd2fdaf6603d9bbc0763e33b	281951633	released
49c3d996-cf81-4a9d-9c04-348173f935c1	TCGA-71-6725-01A-11H-1857-13_mirna_gdc_realn.bam	6f1ef1a4f02f8993ab35b4a141ba0332	112175501	released
ec3e7fa7-dd01-4625-a0d4-b2844bee3d58	cbfa6fea-3a77-4d0f-ab15-12307d08055a.rna_seq.chimeric.gdc_realn.bam	e79844b4ed507d1f0c09a55b47b23ec2	155468682	released
